section_id,norm_multi_family_score,norm_single_family_score,norm_score,urban_parcel_classification,norm_optimal_housing_type,num_housing_units,municipality_name,district_name,comarca,lat,lon,cluster_sc,cluster_description,household_income_sc,multi_family_rental_ppm2_sc,multi_family_purchase_ppm2_percentile_sc,single_family_rental_ppm2_sc,single_family_purchase_ppm2_percentile_sc,office_analysis,office_rental_ppm2
820501002,34.43270498792154,28.54129287445597,34.43270498792154,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47379045,2.084830367,3,"04 Quality Location, Regeneration",67447.0,11.7,3072.356757,12.9,5274.841463414635,Other,0.0
820501003,33.81745894421873,27.896791318684578,33.81745894421873,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47353705,2.080251041,2,"05 Central Metropolitan Location, Regeneration",67695.0,11.7,3072.356757,5.3,1102.4430894308944,Other,0.0
820501004,31.61065523861582,29.33183300187813,31.61065523861582,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47745131,2.076844881,2,"05 Central Metropolitan Location, Regeneration",91982.0,12.8,3574.313514,9.9,3831.219512195122,Other,0.0
820501005,29.59341176225884,25.15750251679288,29.59341176225884,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47929002,2.071465143,1,07 Peripheral Areas,80917.0,11.8,3116.475676,13.7,5633.150406504066,Other,0.0
820501006,22.32884890161568,19.358861236338164,22.32884890161568,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47768264,2.08847468,2,"05 Central Metropolitan Location, Regeneration",54483.0,11.3,2898.908108,9.1,3366.260162601626,Other,0.0
820501007,27.48699054996368,0.0,27.48699054996368,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.4735081,2.088521529,3,"04 Quality Location, Regeneration",57241.0,11.6,3028.540541,,,Other,0.0
820501008,24.45594280902259,0.0,24.45594280902259,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47741618,2.093168552,1,07 Peripheral Areas,57621.0,12.3,3341.610811,,,Other,0.0
820501009,43.35931066848685,43.97811828750374,43.97811828750374,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.46988881,2.086539171,0,03 Premium Urban Areas,122158.0,12.2,3295.978378,11.9,4788.056910569107,Other,0.0
820501010,29.992704824851145,0.0,29.992704824851145,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47267577,2.087813776,2,"05 Central Metropolitan Location, Regeneration",51526.0,12.4,3387.545946,,,Other,0.0
820501011,32.71037992598987,0.0,32.71037992598987,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47416634,2.095568126,1,07 Peripheral Areas,70845.0,12.3,3341.610811,,,Other,0.0
